Date,Invoice No,Item,Qty,Rate,Amount,Customer,Payment Method,Depot,Balance Owing
03/07/2026,INV3722,Sharp Sand (trip),3,76329,228987,Site 4 Contractors,pos,Main Yard,0
06-Jul-2026,INV6204,Sharp Sand (trip),2,85000,170000,Site 12 Rehab,POS,Ikorodu Branch,0
02/06/2026,INV4662,12mm Iron Rod (length),47,8500,399500,Zenith Builders,Credit,Main Yard,0
11/05/2026,INV7480,Aluminium Roofing (m2),81,6800,550800,Site 4 Contractors,Part Payment,Ikorodu Branch,0
21/05/2026,INV4840,Aluminium Roofing (m2),105,6267,658035,Kola & Sons,cash,Main Yard,198312
18-May-2026,INV2923,Binding Wire (roll),4,12000,48000,Chief Nwosu,credit,Main Yard,0
06/07/2026,INV3674, BLOCKS 6IN (PIECE) ,562,362,203444,Alhaji Bello,credit,Ikorodu Branch,0
16-Jul-2026,INV2572,12mm Iron Rod (length),8,8500,68000,Kola & Sons,part payment,Ikorodu Branch,0
15/06/2026,INV7553,Dangote Cement (bag),103,9500,978500,Alhaji Bello,Credit,Main Yard,0
22/06/2026,INV1448,16mm Iron Rod (length),21,14500,304500,Mrs Adebayo,Part Payment,Ikorodu Branch,0
19/06/2026,INV8665,Granite 3/4 (trip),2,145000,290000,Grace Ventures,Credit,Main Yard,0
12-May-2026,INV9691,BUA Cement (bag),122,9200,1122400,Walk-in,pos,Main Yard,238456
25/07/2026,INV3345,Granite 3/4 (trip),3,134170,402510,Eng. Okafor,Cash,Ikorodu Branch,0
17/06/2026,INV9114,12mm Iron Rod (length),39,8500,331500,Walk-in,transfer,Main Yard,0
26/06/2026,INV7937,PVC Pipe 4in (length),46,3719,171074,Zenith Builders,POS,Ojo Branch,0
06/05/2026,INV8038,Nails 3in (kg),36,1662,59832,Kola & Sons,part payment,Ikorodu Branch,0
13/05/2026,INV9164,Blocks 9in (piece),638,424,270512,Site 12 Rehab,cash,Ojo Branch,0
01-Jun-2026,INV2487,Granite 3/4 (trip),1,145000,145000,Site 12 Rehab,Part Payment,Ojo Branch,0
17/07/2026,INV2156,Nails 3in (kg),30,1636,49080,Mrs Adebayo,credit,Main Yard,0
08/06/2026,INV1650,10mm Iron Rod (length),87,5474,476238,Mrs Adebayo,Cash,Main Yard,243198
13/05/2026,INV9284,Granite 3/4 (trip),1,145000,145000,Site 12 Rehab,POS,Main Yard,0
29/06/2026,INV5739,PVC Pipe 4in (length),10,4200,42000,Grace Ventures,POS,Main Yard,12626
20/05/2026,INV2241,Aluminium Roofing (m2),53,6800,360400,Zenith Builders,part payment,Ikorodu Branch,128253
20/06/2026,INV3545,Blocks 9in (piece),473,450,212850,Eng. Okafor,Cash,Ojo Branch,0
2026-05-15,INV3191,Dangote Cement (bag),130,8805,1144650,Zenith Builders,credit,Main Yard,0
23/05/2026,INV9134,Blocks 6in (piece),626,N354,221604,Grace Ventures,pos,Ikorodu Branch,0
07/07/2026,INV1752,16mm Iron Rod (length),7,14500,101500,Site 12 Rehab,Part Payment,Main Yard,0
14/05/2026,INV4355,Blocks 9in (piece),562,N419,235478,Site 12 Rehab,Credit,Ojo Branch,95776
27/06/2026,INV5405,Blocks 6in (piece),551,N334,184034,Mrs Adebayo,Part Payment,Main Yard,0
05/05/2026,INV8807,12mm Iron Rod (length),48,8500,408000,Site 4 Contractors,Cash,Ojo Branch,0
20/06/2026,INV2213, SHARP SAND (TRIP) ,2,85000,170000,Site 4 Contractors,pos,Main Yard,0
23/05/2026,INV3887,Blocks 6in (piece),380,380,144400,Grace Ventures,part payment,Main Yard,75590
09/05/2026,INV6483,Aluminium Roofing (m2),87,6800,591600,Site 4 Contractors,transfer,Main Yard,0
16-Jul-2026,INV2000, 16MM IRON ROD (LENGTH) ,49,13103,642047,Zenith Builders,Credit,Main Yard,185207
07/05/2026,INV9545,16mm Iron Rod (length),36,14500,522000,Grace Ventures,credit,Main Yard,0
10/06/2026,INV3363,Granite 3/4 (trip),2,145000,290000,Site 12 Rehab,credit,Ikorodu Branch,0
16/06/2026,INV3534,BUA Cement (bag),177,8414,1489278,Grace Ventures,part payment,Ojo Branch,0
08/05/2026,INV8786,Dangote Cement (bag),106,9500,1007000,Chief Nwosu,Transfer,Ojo Branch,0
14/05/2026,INV8662,12mm Iron Rod (length),66,7618,502788,Grace Ventures,Credit,Ojo Branch,0
20/07/2026,INV4738, PVC PIPE 4IN (LENGTH) ,43,3809,163787,Zenith Builders,Transfer,Main Yard,0
26/05/2026,INV8135,Sharp Sand (trip),3,79148,237444,Site 12 Rehab,,,0
21/05/2026,INV3307, 16MM IRON ROD (LENGTH) ,28,14500,406000,Site 4 Contractors,cash,Main Yard,0
01/07/2026,INV1531,Blocks 6in (piece),398,380,151240,Site 12 Rehab,transfer,Main Yard,83633
25/06/2026,INV1501,BUA Cement (bag),65,9200,598000,Mrs Adebayo,cash,Ikorodu Branch,0
04/07/2026,INV6752,Nails 3in (kg),5,"N1,800",9000,Chief Nwosu,pos,Ikorodu Branch,0
19/05/2026,INV2865,Sharp Sand (trip),2,85000,170000,Mrs Adebayo,Transfer,Ojo Branch,0
30-Jun-2026,INV1616,Aluminium Roofing (m2),21,6800,142800,Grace Ventures,pos,Main Yard,0
01/07/2026,INV8983,Dangote Cement (bag),154,8883,1367982,Zenith Builders,Credit,Main Yard,0
23/05/2026,INV8893, BUA CEMENT (BAG) ,91,9200,837200,Eng. Okafor,transfer,Main Yard,0
13/05/2026,INV2428,10mm Iron Rod (length),59,6200,365800,Mrs Adebayo,Cash,Main Yard,0
27/05/2026,INV2079,Paint Emulsion (20L),4,28000,112000,Mrs Adebayo,credit,Main Yard,0
10/07/2026,INV8371,Sharp Sand (trip),2,85000,170000,Kola & Sons,POS,Ojo Branch,0
27/05/2026,INV1798,Sharp Sand (trip),1,85000,85000,Walk-in,pos,Main Yard,0
30/05/2026,INV2055,12mm Iron Rod (length),25,8500,212500,Eng. Okafor,Cash,Main Yard,0
29/06/2026,INV5957,Sharp Sand (trip),2,85000,170000,Alhaji Bello,pos,Main Yard,48039
13-May-2026,INV8447, 12MM IRON ROD (LENGTH) ,68,7949,540532,Kola & Sons,Credit,Main Yard,0
08-Jul-2026,INV5043, 10MM IRON ROD (LENGTH) ,72,5590,402480,Chief Nwosu,transfer,Main Yard,0
08/05/2026,INV4893,Blocks 6in (piece),159,380,60420,Grace Ventures,Part Payment,Ojo Branch,0
23/05/2026,INV4046,10mm Iron Rod (length),54,6200,334800,Zenith Builders,pos,Main Yard,0
18/06/2026,INV8760,BUA Cement (bag),40,9200,3680000,Mrs Adebayo,Cash,Ikorodu Branch,0
11/05/2026,INV1620,Binding Wire (roll),1,12000,12000,Eng. Okafor,credit,Ojo Branch,0
09/06/2026,INV8407, 10MM IRON ROD (LENGTH) ,16,6200,99200,Mrs Adebayo,Credit,Main Yard,0
13/05/2026,INV3470,Aluminium Roofing (m2),27,6800,183600,Alhaji Bello,pos,Ojo Branch,0
02-May-2026,INV3122,Blocks 9in (piece),145,450,65250,Walk-in,Part Payment,Main Yard,0
28/07/2026,INV8306,Granite 3/4 (trip),3,132002,396006,Site 12 Rehab,Part Payment,Main Yard,0
30/05/2026,INV4383,PVC Pipe 4in (length),26,4200,109200,Chief Nwosu,,,0
2026-05-30,INV4668,Binding Wire (roll),7,11393,79751,Site 4 Contractors,POS,Main Yard,0
05/05/2026,INV9895,PVC Pipe 4in (length),39,3910,152490,Eng. Okafor,Cash,Main Yard,0
09-Jun-2026,INV9984,Sharp Sand (trip),3,78106,234318,Site 12 Rehab,part payment,Main Yard,0
29/06/2026,INV2076, 10MM IRON ROD (LENGTH) ,18,6200,111600,Mrs Adebayo,Part Payment,Main Yard,0
27/05/2026,INV2887,Blocks 9in (piece),288,450,129600,Alhaji Bello,pos,Main Yard,0
19/06/2026,INV8919,PVC Pipe 4in (length),34,3757,127738,Site 12 Rehab,part payment,Main Yard,0
05-May-2026,INV4574,Binding Wire (roll),10,10862,108620,Mrs Adebayo,Transfer,Main Yard,0
2026-05-25,INV4221,16mm Iron Rod (length),60,13222,793320,Kola & Sons,transfer,Ojo Branch,0
06/06/2026,INV8385,16mm Iron Rod (length),15,14500,217500,Mrs Adebayo,transfer,Main Yard,50769
25/05/2026,INV6623,Aluminium Roofing (m2),25,6800,170000,Grace Ventures,Part Payment,Main Yard,0
03/06/2026,INV2633,Blocks 9in (piece),142,450,63900,Site 4 Contractors,part payment,Ikorodu Branch,37492
23/07/2026,INV7168,Sharp Sand (trip),3,76242,228726,Alhaji Bello,part payment,Main Yard,0
25/07/2026,INV2096, BINDING WIRE (ROLL) ,2,12000,24000,Walk-in,POS,Ikorodu Branch,0
14/07/2026,INV4861,16mm Iron Rod (length),13,14500,188500,Mrs Adebayo,credit,Main Yard,0
30/05/2026,INV9283,Stepping Tiles (carton),48,6748,323904,Chief Nwosu,pos,Ojo Branch,0
06/07/2026,INV6452,10mm Iron Rod (length),97,5708,553676,Site 12 Rehab,Transfer,Ojo Branch,0
02/05/2026,INV4318,Binding Wire (roll),5,12000,60000,Walk-in,Credit,Ojo Branch,0
01-Jul-2026,INV5196,PVC Pipe 4in (length),19,4200,79800,Site 4 Contractors,pos,Main Yard,0
20/05/2026,INV3422,Granite 3/4 (trip),3,134430,403290,Kola & Sons,Part Payment,Main Yard,0
18/07/2026,INV2314,Nails 3in (kg),25,1800,45000,Grace Ventures,part payment,Ikorodu Branch,0
10/07/2026,INV4329,Paint Emulsion (20L),12,26648,319776,Kola & Sons,part payment,Ojo Branch,0
09/07/2026,INV8418,Blocks 9in (piece),252,450,113400,Alhaji Bello,cash,Main Yard,0
08/06/2026,INV2264,Sharp Sand (trip),1,85000,85000,Grace Ventures,POS,Main Yard,0
27/07/2026,INV5573,Binding Wire (roll),4,12000,48000,Mrs Adebayo,Credit,Main Yard,0
21/05/2026,INV3443,10mm Iron Rod (length),8,6200,49600,Chief Nwosu,POS,Ikorodu Branch,0
02/06/2026,INV7808,PVC Pipe 4in (length),25,4200,105000,Site 12 Rehab,transfer,Main Yard,0
19/05/2026,INV7093, NAILS 3IN (KG) ,19,1800,34200,Walk-in,Credit,Main Yard,0
2026-05-23,INV2998,16mm Iron Rod (length),55,"N13,309",731995,Grace Ventures,credit,Ikorodu Branch,0
05-May-2026,INV2155,Binding Wire (roll),9,11518,103662,Alhaji Bello,transfer,Ikorodu Branch,0
26/05/2026,INV5741,Aluminium Roofing (m2),99,6800,673200,Site 4 Contractors,POS,Main Yard,174564
24/06/2026,INV5050,Stepping Tiles (carton),41,7500,307500,Chief Nwosu,transfer,Main Yard,0
03/06/2026,INV6030,Paint Emulsion (20L),13,26342,342446,Kola & Sons,transfer,Main Yard,0
25/07/2026,INV6681, BUA CEMENT (BAG) ,130,8382,1089660,Alhaji Bello,pos,Main Yard,0
22/05/2026,INV9852,12mm Iron Rod (length),79,7563,597477,Grace Ventures,POS,Main Yard,0
26/05/2026,INV1717,Paint Emulsion (20L),12,26016,312192,Walk-in,transfer,Ojo Branch,0
18/05/2026,INV7781,Binding Wire (roll),4,12000,48000,Mrs Adebayo,pos,Ojo Branch,11606
13/05/2026,INV1806,Sharp Sand (trip),1,85000,85000,Walk-in,Cash,Main Yard,0
21/05/2026,INV2287,Blocks 6in (piece),353,380,134140,Site 12 Rehab,Cash,Ojo Branch,0
08/06/2026,INV3388,BUA Cement (bag),183,8749,1601067,Site 12 Rehab,Transfer,Main Yard,0
13/05/2026,INV9284,Granite 3/4 (trip),1,145000,145000,Site 12 Rehab,POS,Main Yard,0
16/06/2026,INV5689,BUA Cement (bag),109,9200,10028000,Walk-in,POS,Main Yard,0
28/05/2026,INV2018,Stepping Tiles (carton),15,7500,112500,Chief Nwosu,part payment,Main Yard,0
08/07/2026,INV3892,Aluminium Roofing (m2),102,6800,693600,Chief Nwosu,Cash,Main Yard,0
23/05/2026,INV1889,PVC Pipe 4in (length),11,4200,46200,Zenith Builders,,,0
21/05/2026,INV2112,PVC Pipe 4in (length),10,4200,42000,Mrs Adebayo,credit,Main Yard,0
06/05/2026,INV2959,Sharp Sand (trip),3,81599,244797,Chief Nwosu,transfer,Main Yard,0
16/07/2026,INV1544,BUA Cement (bag),188,8106,1523928,Grace Ventures,Part Payment,Main Yard,0
23/06/2026,INV3094, BINDING WIRE (ROLL) ,1,12000,12000,Chief Nwosu,Cash,Ojo Branch,0
23/06/2026,INV4212,10mm Iron Rod (length),74,5949,440226,Walk-in,Credit,Ojo Branch,0
01/06/2026,INV1682,Aluminium Roofing (m2),72,6800,489600,Grace Ventures,Transfer,Ikorodu Branch,136608
15/07/2026,INV7791,16mm Iron Rod (length),5,14500,72500,Kola & Sons,POS,Main Yard,0
06/07/2026,INV4179,PVC Pipe 4in (length),40,3925,157000,Walk-in,Transfer,Ojo Branch,0
29/06/2026,INV7770,Nails 3in (kg),22,1800,39600,Site 12 Rehab,Transfer,Main Yard,0
09/05/2026,INV7590, PVC PIPE 4IN (LENGTH) ,45,3933,176985,Grace Ventures,pos,Main Yard,37687
25/07/2026,INV6123,Sharp Sand (trip),3,76896,230688,Chief Nwosu,POS,Main Yard,0
20/06/2026,INV2923,Granite 3/4 (trip),1,145000,145000,Kola & Sons,cash,Main Yard,0
22/06/2026,INV3916,Stepping Tiles (carton),42,7500,315000,Site 4 Contractors,transfer,Main Yard,105416
2026-07-08,INV4362,Nails 3in (kg),9,1800,16200,Zenith Builders,Cash,Main Yard,0
2026-07-15,INV6882,Nails 3in (kg),5,1800,9000,Eng. Okafor,transfer,Main Yard,0
02/07/2026,INV3156,10mm Iron Rod (length),30,6200,186000,Site 4 Contractors,Cash,Main Yard,0
08/06/2026,INV4465,10mm Iron Rod (length),30,6200,186000,Walk-in,cash,Ikorodu Branch,0
01/06/2026,INV6434,Stepping Tiles (carton),27,7500,202500,Walk-in,credit,Main Yard,0
24/06/2026,INV8669,16mm Iron Rod (length),11,14500,159500,Chief Nwosu,pos,Main Yard,0
2026-06-04,INV7469,Binding Wire (roll),1,12000,12000,Site 4 Contractors,Transfer,Ikorodu Branch,0
19/06/2026,INV6104,Stepping Tiles (carton),23,7500,172500,Alhaji Bello,Credit,Ikorodu Branch,0
08/07/2026,INV2566,Sharp Sand (trip),2,85000,170000,Zenith Builders,part payment,Main Yard,62446
15/05/2026,INV4722,Paint Emulsion (20L),10,24692,246920,Walk-in,POS,Main Yard,0
26/06/2026,INV7569,Dangote Cement (bag),125,9500,1187500,Site 12 Rehab,Transfer,Main Yard,0
06/05/2026,INV7697,Stepping Tiles (carton),12,7500,90000,Kola & Sons,transfer,Main Yard,0
26/06/2026,INV2759,Granite 3/4 (trip),3,132380,397140,Chief Nwosu,transfer,Main Yard,194359
27-Jul-2026,INV9974,Dangote Cement (bag),200,8881,1776200,Kola & Sons,POS,Main Yard,0
29/07/2026,INV8438,Blocks 9in (piece),672,429,288288,Grace Ventures,POS,Main Yard,0
11/06/2026,INV5144,Aluminium Roofing (m2),77,"N6,800",523600,Walk-in,credit,Ojo Branch,0
09/07/2026,INV6136,Nails 3in (kg),23,1800,41400,Site 12 Rehab,POS,Main Yard,0
15/05/2026,INV5648,10mm Iron Rod (length),61,6200,378200,Chief Nwosu,credit,Main Yard,0
01/06/2026,INV2103,Granite 3/4 (trip),1,145000,145000,Grace Ventures,Cash,Main Yard,0
2026-07-20,INV8753,Dangote Cement (bag),58,"N9,500",551000,Chief Nwosu,pos,Ikorodu Branch,230142
26/05/2026,INV3434,Dangote Cement (bag),148,"N8,644",1279312,Chief Nwosu,Cash,Main Yard,316101
26/05/2026,INV9733,Binding Wire (roll),9,10814,97326,Mrs Adebayo,part payment,Main Yard,0
06/06/2026,INV5889, 16MM IRON ROD (LENGTH) ,11,14500,159500,Grace Ventures,Transfer,Main Yard,0
28/05/2026,INV8770,Aluminium Roofing (m2),44,6800,299200,Chief Nwosu,transfer,Main Yard,0
23/05/2026,INV8481, PVC PIPE 4IN (LENGTH) ,7,4200,29400,Site 4 Contractors,Credit,Main Yard,0
04/06/2026,INV9344,Blocks 9in (piece),694,413,286622,Site 12 Rehab,pos,Main Yard,0
28/07/2026,INV3580,10mm Iron Rod (length),31,6200,192200,Eng. Okafor,transfer,Main Yard,0
15/05/2026,INV6880, 12MM IRON ROD (LENGTH) ,73,7560,551880,Site 12 Rehab,part payment,Main Yard,0
21/07/2026,INV9837,Sharp Sand (trip),2,85000,170000,Mrs Adebayo,pos,Main Yard,40195
2026-07-20,INV6233,Stepping Tiles (carton),39,7500,292500,Mrs Adebayo,cash,Main Yard,0
26/06/2026,INV8449,Nails 3in (kg),29,1671,48459,Walk-in,cash,Ojo Branch,0
18/05/2026,INV6956, GRANITE 3/4 (TRIP) ,1,145000,145000,Alhaji Bello,pos,Main Yard,0
14/07/2026,INV6991,Aluminium Roofing (m2),57,6800,387600,Grace Ventures,pos,Ojo Branch,0
05/05/2026,INV2589,12mm Iron Rod (length),16,8500,136000,Kola & Sons,POS,Main Yard,0
27/07/2026,INV3183,Aluminium Roofing (m2),46,6800,312800,Walk-in,Transfer,Main Yard,0
19/05/2026,INV1918,Stepping Tiles (carton),54,6821,368334,Grace Ventures,Transfer,Ikorodu Branch,0
06-May-2026,INV1647,Paint Emulsion (20L),4,28000,112000,Alhaji Bello,part payment,Main Yard,0
18/05/2026,INV9298,Sharp Sand (trip),2,85000,170000,Site 4 Contractors,Part Payment,Ikorodu Branch,0
2026-05-18,INV5799,10mm Iron Rod (length),79,5674,448246,Alhaji Bello,pos,Main Yard,156856
09/06/2026,INV8871,Stepping Tiles (carton),51,7010,357510,Eng. Okafor,part payment,Ikorodu Branch,0
15/07/2026,INV2880,BUA Cement (bag),47,9200,432400,Mrs Adebayo,part payment,Main Yard,0
12/07/2026,INV9026,PVC Pipe 4in (length),41,3857,158137,Eng. Okafor,Part Payment,Main Yard,0
28/05/2026,INV3673,16mm Iron Rod (length),59,13265,782635,Alhaji Bello,Part Payment,Main Yard,207340
25/05/2026,INV8129,PVC Pipe 4in (length),32,4200,134400,Chief Nwosu,transfer,Ojo Branch,0
19/06/2026,INV9884,Dangote Cement (bag),164,8505,1394820,Zenith Builders,Cash,Main Yard,0
28/05/2026,INV8332,Stepping Tiles (carton),34,7500,255000,Alhaji Bello,part payment,Main Yard,0
24/06/2026,INV5881,12mm Iron Rod (length),7,8500,59500,Walk-in,pos,Ojo Branch,0
16/07/2026,INV4354,Stepping Tiles (carton),57,6953,396321,Site 12 Rehab,Transfer,Ikorodu Branch,0
01/05/2026,INV8492,Granite 3/4 (trip),1,145000,145000,Kola & Sons,POS,Main Yard,0
21/05/2026,INV9074,12mm Iron Rod (length),13,"N8,500",110500,Walk-in,Part Payment,Main Yard,0
2026-05-01,INV1008,Sharp Sand (trip),1,85000,85000,Alhaji Bello,Credit,Ojo Branch,0
08/07/2026,INV1324,10mm Iron Rod (length),62,6200,384400,Kola & Sons,Cash,Main Yard,0
11/05/2026,INV8322,Paint Emulsion (20L),2,28000,56000,Kola & Sons,transfer,Ojo Branch,0
19/05/2026,INV2170,Blocks 6in (piece),220,380,83600,Walk-in,,,0
23/05/2026,INV8066,Stepping Tiles (carton),59,6670,393530,Zenith Builders,cash,Main Yard,0
02/05/2026,INV7905, PAINT EMULSION (20L) ,8,28000,224000,Site 4 Contractors,transfer,Ikorodu Branch,0
05-Jun-2026,INV2909,Dangote Cement (bag),176,8759,1541584,Eng. Okafor,credit,Main Yard,0
2026-05-22,INV9052,Aluminium Roofing (m2),137,6123,838851,Chief Nwosu,cash,Ojo Branch,0
25/06/2026,INV3998,Paint Emulsion (20L),13,25687,333931,Eng. Okafor,part payment,Main Yard,0
26/06/2026,INV2096,Binding Wire (roll),1,12000,12000,Eng. Okafor,transfer,Main Yard,4213
07/05/2026,INV7962,Sharp Sand (trip),3,75940,227820,Zenith Builders,transfer,Ojo Branch,0
25/05/2026,INV4138,Nails 3in (kg),37,1667,61679,Site 4 Contractors,part payment,Ojo Branch,0
23/05/2026,INV7677,PVC Pipe 4in (length),8,4200,33600,Alhaji Bello,pos,Main Yard,0
23/07/2026,INV5218,PVC Pipe 4in (length),39,3963,154557,Zenith Builders,Transfer,Main Yard,0
05/05/2026,INV1669,Binding Wire (roll),1,12000,12000,Eng. Okafor,credit,Ojo Branch,0
29/05/2026,INV5834,Blocks 6in (piece),251,380,95380,Kola & Sons,Cash,Main Yard,25516
13/06/2026,INV9515,Nails 3in (kg),22,"N1,800",39600,Zenith Builders,transfer,Main Yard,0
16/06/2026,INV3716,Aluminium Roofing (m2),64,6800,435200,Grace Ventures,cash,Main Yard,0
19/06/2026,INV9588,10mm Iron Rod (length),66,5702,376332,Walk-in,Credit,Main Yard,0
2026-07-27,INV9933,Nails 3in (kg),15,1800,27000,Kola & Sons,Part Payment,Main Yard,0
04/05/2026,INV9526,Blocks 6in (piece),454,380,172520,Eng. Okafor,,,98861
27/06/2026,INV7768,Granite 3/4 (trip),1,145000,145000,Zenith Builders,transfer,Ikorodu Branch,0
14-May-2026,INV7625,BUA Cement (bag),103,9200,947600,Kola & Sons,Credit,Ikorodu Branch,0
29-Jun-2026,INV4852,Nails 3in (kg),5,1800,9000,Site 12 Rehab,transfer,Main Yard,0
17/07/2026,INV5547,Granite 3/4 (trip),2,145000,290000,Kola & Sons,Part Payment,Ikorodu Branch,0
15/05/2026,INV6407,Blocks 9in (piece),651,431,280581,Site 12 Rehab,Credit,Main Yard,0
01/05/2026,INV4487, BUA CEMENT (BAG) ,111,9200,1021200,Chief Nwosu,part payment,Main Yard,0
07/05/2026,INV7033,Blocks 6in (piece),299,380,113620,Site 12 Rehab,cash,Ikorodu Branch,0
24/06/2026,INV1609,12mm Iron Rod (length),76,"N7,739",588164,Zenith Builders,Cash,Ikorodu Branch,0
20/06/2026,INV6253,PVC Pipe 4in (length),39,3713,144807,Site 4 Contractors,Transfer,Main Yard,0
25/05/2026,INV3574,10mm Iron Rod (length),95,5793,550335,Eng. Okafor,pos,Main Yard,0
08/07/2026,INV2728,Granite 3/4 (trip),2,145000,290000,Alhaji Bello,Credit,Main Yard,0
09/05/2026,INV8229,16mm Iron Rod (length),26,14500,377000,Kola & Sons,Cash,Ikorodu Branch,0
28/07/2026,INV1842,BUA Cement (bag),62,9200,570400,Grace Ventures,Part Payment,Main Yard,248644
15/05/2026,INV1315,Sharp Sand (trip),1,85000,85000,Chief Nwosu,cash,Main Yard,0
09/05/2026,INV3594,10mm Iron Rod (length),18,6200,111600,Site 12 Rehab,part payment,Ikorodu Branch,0
03/07/2026,INV3140,Blocks 9in (piece),145,450,65250,Kola & Sons,POS,Main Yard,0
04/06/2026,INV4463,12mm Iron Rod (length),23,8500,195500,Site 4 Contractors,transfer,Ojo Branch,0
24/07/2026,INV3559,Stepping Tiles (carton),20,7500,150000,Zenith Builders,cash,Main Yard,0
05/05/2026,INV2553,Binding Wire (roll),7,11444,80108,Alhaji Bello,Part Payment,Main Yard,0
27/05/2026,INV4035,Nails 3in (kg),21,1800,37800,Alhaji Bello,Cash,Ikorodu Branch,0
15-Jun-2026,INV9123,Sharp Sand (trip),1,85000,85000,Kola & Sons,Credit,Ojo Branch,32592
31/05/2026,INV2917,12mm Iron Rod (length),43,8500,365500,Site 12 Rehab,Transfer,Ikorodu Branch,0
28/07/2026,INV1129,Blocks 9in (piece),457,450,205650,Chief Nwosu,pos,Ikorodu Branch,44276
17/06/2026,INV4594,Stepping Tiles (carton),52,6934,360568,Grace Ventures,Cash,Main Yard,0
28/07/2026,INV9480,Aluminium Roofing (m2),42,6800,285600,Site 12 Rehab,Part Payment,Ojo Branch,0
20-May-2026,INV7040,Stepping Tiles (carton),20,7500,150000,Walk-in,Transfer,Main Yard,0
05/05/2026,INV8156, BLOCKS 9IN (PIECE) ,302,450,135900,Kola & Sons,POS,Ikorodu Branch,38283
26/05/2026,INV1771,16mm Iron Rod (length),36,14500,522000,Site 4 Contractors,POS,Ikorodu Branch,172063
20/07/2026,INV5875,Dangote Cement (bag),53,9500,503500,Zenith Builders,Cash,Main Yard,0
11/05/2026,INV7667,Granite 3/4 (trip),2,145000,290000,Grace Ventures,Credit,Ojo Branch,0
27/06/2026,INV2644,Blocks 9in (piece),386,N450,173700,Zenith Builders,part payment,Main Yard,0
2026-05-27,INV3955,Sharp Sand (trip),1,85000,85000,Alhaji Bello,Credit,Ikorodu Branch,0
28/05/2026,INV4042,16mm Iron Rod (length),53,13916,737548,Walk-in,,,0
05/05/2026,INV1373, PAINT EMULSION (20L) ,5,28000,140000,Eng. Okafor,Cash,Main Yard,0
20/05/2026,INV2676,BUA Cement (bag),69,9200,634800,Site 12 Rehab,cash,Main Yard,0
08/05/2026,INV3302,Granite 3/4 (trip),3,135895,407685,Kola & Sons,Credit,Main Yard,0
24-May-2026,INV8973,16mm Iron Rod (length),20,14500,290000,Walk-in,Transfer,Main Yard,0
18/06/2026,INV3301,16mm Iron Rod (length),30,14500,435000,Walk-in,transfer,Ikorodu Branch,0
27/07/2026,INV1632,12mm Iron Rod (length),63,7878,496314,Chief Nwosu,cash,Main Yard,0
25/05/2026,INV7881,Blocks 6in (piece),606,354,214524,Site 4 Contractors,pos,Main Yard,0
14/07/2026,INV9598,12mm Iron Rod (length),75,7510,1126500,Grace Ventures,transfer,Ikorodu Branch,292197
06/05/2026,INV1739,Blocks 6in (piece),760,336,255360,Eng. Okafor,credit,Ojo Branch,0
26-Jun-2026,INV4928,Sharp Sand (trip),3,"N80,555",241665,Chief Nwosu,Part Payment,Ojo Branch,0
18/06/2026,INV6781, BLOCKS 9IN (PIECE) ,177,450,79650,Chief Nwosu,pos,Ojo Branch,0
02/05/2026,INV9044,16mm Iron Rod (length),52,13577,706004,Eng. Okafor,Transfer,Main Yard,0
11/06/2026,INV8889,Nails 3in (kg),30,1615,48450,Eng. Okafor,Credit,Ikorodu Branch,0
01-Jun-2026,INV4467, SHARP SAND (TRIP) ,1,85000,85000,Zenith Builders,pos,Main Yard,0
19/06/2026,INV2556,12mm Iron Rod (length),56,7677,429912,Kola & Sons,Cash,Ojo Branch,0
05/05/2026,INV9172,Binding Wire (roll),6,"N12,000",72000,Chief Nwosu,Transfer,Ikorodu Branch,0
14-May-2026,INV4351,PVC Pipe 4in (length),16,4200,67200,Kola & Sons,Transfer,Main Yard,0
26/06/2026,INV6760,Blocks 9in (piece),351,450,157950,Eng. Okafor,Part Payment,Ikorodu Branch,0
13/07/2026,INV4562,16mm Iron Rod (length),20,14500,290000,Zenith Builders,Part Payment,Main Yard,0
2026-06-23,INV9584,Nails 3in (kg),16,1800,28800,Alhaji Bello,pos,Main Yard,8154
18/05/2026,INV1175,Stepping Tiles (carton),55,7178,394790,Site 4 Contractors,credit,Main Yard,0
16/06/2026,INV9032,Blocks 9in (piece),566,398,225268,Alhaji Bello,credit,Main Yard,0
07/07/2026,INV6890,Granite 3/4 (trip),3,136200,408600,Zenith Builders,Credit,Ikorodu Branch,0
08/06/2026,INV2519,16mm Iron Rod (length),6,14500,87000,Kola & Sons,cash,Main Yard,0
04-Jul-2026,INV1473,Blocks 9in (piece),259,450,116550,Site 4 Contractors,cash,Ojo Branch,30065
16/07/2026,INV8503,Nails 3in (kg),33,1723,56859,Alhaji Bello,POS,Ikorodu Branch,20432
24/07/2026,INV4220,16mm Iron Rod (length),7,14500,101500,Alhaji Bello,cash,Main Yard,0
29/05/2026,INV3468,Dangote Cement (bag),189,8663,1637307,Chief Nwosu,credit,Main Yard,0
18/05/2026,INV4279,Binding Wire (roll),5,12000,60000,Zenith Builders,credit,Main Yard,0
15/07/2026,INV9441,Blocks 6in (piece),568,351,199368,Alhaji Bello,POS,Main Yard,0
08/07/2026,INV5206,Aluminium Roofing (m2),82,6800,557600,Site 12 Rehab,cash,Main Yard,0
07/05/2026,INV9803,Binding Wire (roll),3,12000,36000,Site 4 Contractors,,,0
